Title:       ,Ning-LJ two half cells module
Comment:     ,
Op:          ,Admin
ID:          ,ME2 099+153 SnBiAg front
Mod Type:    ,ModuleType1
Date:        ,11-9-2020
Time:        ,12:14:35
Irradiance:  ,999.853
IrrCorr:     ,1000
Lamp Voltage:,2300
Corrected To:,1000
Module Temp: ,24.7943
Corrected To:,25
MCCC:        ,1.1620
Voc:         ,1.36302
Isc:         ,5.35602
Rseries:     ,0.02813
Rshunt:      ,59.4753
Pmax:        ,5.61026
Vpm:         ,1.11003
Ipm:         ,5.05414
Fill Factor: ,0.76848
Active Eff:  ,20.4642
Aperture Eff:,20.4642
Segment Area:,137.075
Segs in Ser: ,2
Segs in Par: ,1
Panel Area:  ,274.15
Vload:       ,0
Ivld:        ,0
Pvld:        ,0
Iload:       ,0
Vild:        ,0
Pild:        ,0
Frequency:   ,113000
SweepDelay:  ,20
SweepLength: ,150
SweepSlope:  ,0.025
SweepDir:    ,0
MCCC2:       ,1.16
MCCC3:       ,1.155
MCCC4:       ,1.155
LampI:       ,1000.11
IntV:        ,6.99127
IntV2:       ,7.00090
IntV3:       ,6.9858
IntV4:       ,6.9858
LoadV:       ,4.5
PulseWidth1: ,166.477
PulseWidth2: ,166.796
PulseWidth3: ,0
PulseWidth4: ,0
TRef1:       ,25.9296
TRef2:       ,25.6168
TRef3:       ,0
TRef4:       ,0
MCMode:      ,False
Irradiance2: ,-1.#INF
IrrCorr2:    ,700
Voc2:        ,0
Isc2:        ,0
Pmax2:       ,0
Vpm2:        ,0
Ipm2:        ,0
Fill Factor2:,0
Active Eff2: ,0
ApertureEff2:,0
LoadV2:      ,3.2125
PulseWidth12:,166.477
PulseWidth22:,166.796
Irradiance3: ,-1.#INF
IrrCorr3:    ,400
Voc3:        ,0
Isc3:        ,0
Pmax3:       ,0
Vpm3:        ,0
Ipm3:        ,0
Fill Factor3:,0
Active Eff3: ,0
ApertureEff3:,0
LoadV3:      ,3.2125
PulseWidth13:,166.477
PulseWidth23:,166.796
 Voltage:    , Current:
 -1.453258 , 5.4092990
 -1.452716 , 5.4108510
 -1.451066 , 5.4091440
 -1.450184 , 5.4091470
 -1.449978 , 5.4089550
 -1.449964 , 5.4102830
 -1.449772 , 5.4110970
 -1.449362 , 5.4085910
 -1.447339 , 5.4090960
 -1.446835 , 5.4089370
 -1.446255 , 5.4087100
 -1.446177 , 5.4091870
 -1.445716 , 5.4087030
 -1.444232 , 5.4079260
 -1.443425 , 5.4080530
 -1.442476 , 5.4070160
 -1.442150 , 5.4090000
 -1.441949 , 5.4071350
 -1.441837 , 5.4078540
 -1.441217 , 5.4063330
 -1.440441 , 5.4062830
 -1.440394 , 5.4069170
 -1.440245 , 5.4073280
 -1.439890 , 5.4080360
 -1.438191 , 5.4070330
 -1.436050 , 5.4068180
 -1.434406 , 5.4063030
 -1.434308 , 5.4064020
 -1.433743 , 5.4060680
 -1.433622 , 5.4065280
 -1.432550 , 5.4046460
 -1.431210 , 5.4046430
 -1.430664 , 5.4050640
 -1.430486 , 5.4055980
 -1.430387 , 5.4048290
 -1.430225 , 5.4034180
 -1.430145 , 5.4050400
 -1.430137 , 5.4050800
 -1.429603 , 5.4034600
 -1.429287 , 5.4046620
 -1.429207 , 5.4045380
 -1.428679 , 5.4025400
 -1.428501 , 5.4045940
 -1.428306 , 5.4034110
 -1.425886 , 5.4036880
 -1.425534 , 5.4030270
 -1.425383 , 5.4044550
 -1.424536 , 5.4037520
 -1.423743 , 5.4029460
 -1.421488 , 5.4024040
 -1.418925 , 5.4024550
 -1.418923 , 5.4019930
 -1.418619 , 5.4027620
 -1.418268 , 5.4011390
 -1.418067 , 5.4026530
 -1.415628 , 5.4022250
 -1.415489 , 5.4021220
 -1.415330 , 5.4012120
 -1.414465 , 5.4014480
 -1.414337 , 5.4009270
 -1.414162 , 5.4010640
 -1.413954 , 5.4012380
 -1.413666 , 5.4010050
 -1.413423 , 5.4007310
 -1.413160 , 5.3991230
 -1.412272 , 5.4008880
 -1.412151 , 5.4010910
 -1.411956 , 5.4005140
 -1.411456 , 5.3992690
 -1.411054 , 5.4006100
 -1.410926 , 5.3990970
 -1.410892 , 5.4004390
 -1.409874 , 5.3992530
 -1.409233 , 5.3996570
 -1.408786 , 5.3993640
 -1.407583 , 5.3983490
 -1.407372 , 5.3997130
 -1.407367 , 5.3993910
 -1.407216 , 5.4005810
 -1.406397 , 5.3982630
 -1.404014 , 5.3968850
 -1.402526 , 5.3978730
 -1.400614 , 5.3994590
 -1.400353 , 5.3992790
 -1.399878 , 5.3979200
 -1.399062 , 5.3972650
 -1.398370 , 5.3978180
 -1.397696 , 5.3965330
 -1.397526 , 5.3978680
 -1.397089 , 5.3970860
 -1.396445 , 5.3969730
 -1.396362 , 5.3967740
 -1.394265 , 5.3957200
 -1.394116 , 5.3972020
 -1.393574 , 5.3960290
 -1.393495 , 5.3961370
 -1.393039 , 5.3964730
 -1.392956 , 5.3968350
 -1.390557 , 5.3958750
 -1.387656 , 5.3962410
 -1.386696 , 5.3957430
 -1.386541 , 5.3958310
 -1.385292 , 5.3950690
 -1.383049 , 5.3950230
 -1.381101 , 5.3944830
 -1.380769 , 5.3949200
 -1.379807 , 5.3952470
 -1.378994 , 5.3944200
 -1.377635 , 5.3937150
 -1.376498 , 5.3940620
 -1.376487 , 5.3935990
 -1.375741 , 5.3942270
 -1.375517 , 5.3933880
 -1.375515 , 5.3945230
 -1.373667 , 5.3937290
 -1.373598 , 5.3928480
 -1.373334 , 5.3943050
 -1.372999 , 5.3925840
 -1.372602 , 5.3929630
 -1.370261 , 5.3929020
 -1.369425 , 5.3929380
 -1.368997 , 5.3920350
 -1.367982 , 5.3933510
 -1.365853 , 5.3917990
 -1.364200 , 5.3918040
 -1.363116 , 5.3926690
 -1.362984 , 5.3927480
 -1.361794 , 5.3919610
 -1.359860 , 5.3907340
 -1.358668 , 5.3909540
 -1.357579 , 5.3917410
 -1.357335 , 5.3913740
 -1.356822 , 5.3910260
 -1.353803 , 5.3917320
 -1.352708 , 5.3894330
 -1.352388 , 5.3899330
 -1.352368 , 5.3907050
 -1.352002 , 5.3902370
 -1.350386 , 5.3911010
 -1.350010 , 5.3896690
 -1.349682 , 5.3897610
 -1.348096 , 5.3898000
 -1.346503 , 5.3901920
 -1.345973 , 5.3897860
 -1.345225 , 5.3887720
 -1.344543 , 5.3886880
 -1.344169 , 5.3894080
 -1.344022 , 5.3882440
 -1.343340 , 5.3898100
 -1.343266 , 5.3883830
 -1.342124 , 5.3883240
 -1.340432 , 5.3876660
 -1.338455 , 5.3884320
 -1.338221 , 5.3890380
 -1.337525 , 5.3888430
 -1.336982 , 5.3862940
 -1.333818 , 5.3876800
 -1.332959 , 5.3868720
 -1.332419 , 5.3871520
 -1.331850 , 5.3875720
 -1.329899 , 5.3883560
 -1.327508 , 5.3864440
 -1.325193 , 5.3863710
 -1.324942 , 5.3853120
 -1.324508 , 5.3872410
 -1.323465 , 5.3869200
 -1.322225 , 5.3860180
 -1.318819 , 5.3858140
 -1.317981 , 5.3846830
 -1.317958 , 5.3857420
 -1.317473 , 5.3859210
 -1.317414 , 5.3851590
 -1.315908 , 5.3855210
 -1.313812 , 5.3846100
 -1.313106 , 5.3859930
 -1.312835 , 5.3852820
 -1.312738 , 5.3842590
 -1.312551 , 5.3847060
 -1.312207 , 5.3841810
 -1.310856 , 5.3818540
 -1.308898 , 5.3854500
 -1.308893 , 5.3831110
 -1.308577 , 5.3852800
 -1.307743 , 5.3845040
 -1.307624 , 5.3850640
 -1.306067 , 5.3828130
 -1.303019 , 5.3829630
 -1.300143 , 5.3824410
