Title:       ,Ning-LJ two half cells module
Comment:     ,
Op:          ,Admin
ID:          ,ME2 175+087 SnBiInAg back
Mod Type:    ,ModuleType1
Date:        ,11-9-2020
Time:        ,11:50:31
Irradiance:  ,1000.08
IrrCorr:     ,1000
Lamp Voltage:,2300
Corrected To:,1000
Module Temp: ,24.9281
Corrected To:,25
MCCC:        ,1.1620
Voc:         ,1.35222
Isc:         ,4.3699
Rseries:     ,0.03001
Rshunt:      ,9.10706
Pmax:        ,4.61196
Vpm:         ,1.11840
Ipm:         ,4.12368
Fill Factor: ,0.78048
Active Eff:  ,16.8227
Aperture Eff:,16.8227
Segment Area:,137.075
Segs in Ser: ,2
Segs in Par: ,1
Panel Area:  ,274.15
Vload:       ,0
Ivld:        ,0
Pvld:        ,0
Iload:       ,0
Vild:        ,0
Pild:        ,0
Frequency:   ,113000
SweepDelay:  ,20
SweepLength: ,150
SweepSlope:  ,0.025
SweepDir:    ,0
MCCC2:       ,1.16
MCCC3:       ,1.155
MCCC4:       ,1.155
LampI:       ,999.922
IntV:        ,6.98933
IntV2:       ,6.99896
IntV3:       ,6.9858
IntV4:       ,6.9858
LoadV:       ,4.5
PulseWidth1: ,167.150
PulseWidth2: ,167.610
PulseWidth3: ,0
PulseWidth4: ,0
TRef1:       ,25.2161
TRef2:       ,24.9621
TRef3:       ,0
TRef4:       ,0
MCMode:      ,False
Irradiance2: ,-1.#INF
IrrCorr2:    ,700
Voc2:        ,0
Isc2:        ,0
Pmax2:       ,0
Vpm2:        ,0
Ipm2:        ,0
Fill Factor2:,0
Active Eff2: ,0
ApertureEff2:,0
LoadV2:      ,3.2125
PulseWidth12:,167.150
PulseWidth22:,167.610
Irradiance3: ,-1.#INF
IrrCorr3:    ,400
Voc3:        ,0
Isc3:        ,0
Pmax3:       ,0
Vpm3:        ,0
Ipm3:        ,0
Fill Factor3:,0
Active Eff3: ,0
ApertureEff3:,0
LoadV3:      ,3.2125
PulseWidth13:,167.150
PulseWidth23:,167.610
 Voltage:    , Current:
 -2.151298 , 5.1452470
 -2.150643 , 5.1459490
 -2.150528 , 5.1423240
 -2.150152 , 5.1445400
 -2.149971 , 5.1419840
 -2.149956 , 5.1452330
 -2.149880 , 5.1461680
 -2.149774 , 5.1451650
 -2.149754 , 5.1392020
 -2.149748 , 5.1427140
 -2.149706 , 5.1428730
 -2.149554 , 5.1435510
 -2.149512 , 5.1414830
 -2.149158 , 5.1399250
 -2.148999 , 5.1420060
 -2.148741 , 5.1430170
 -2.148633 , 5.1379400
 -2.148548 , 5.1360630
 -2.148476 , 5.1389330
 -2.148417 , 5.1400880
 -2.148227 , 5.1389590
 -2.148208 , 5.1409850
 -2.148130 , 5.1375770
 -2.148045 , 5.1353320
 -2.148045 , 5.1389060
 -2.147809 , 5.1370410
 -2.147760 , 5.1367450
 -2.147692 , 5.1335500
 -2.147477 , 5.1348840
 -2.147282 , 5.1351920
 -2.147193 , 5.1368410
 -2.147168 , 5.1335980
 -2.147008 , 5.1338600
 -2.146890 , 5.1313990
 -2.146750 , 5.1326030
 -2.146541 , 5.1309360
 -2.146509 , 5.1312380
 -2.146509 , 5.1333790
 -2.146435 , 5.1320240
 -2.146408 , 5.1298380
 -2.146037 , 5.1304920
 -2.145979 , 5.1293390
 -2.145838 , 5.1264550
 -2.145685 , 5.1289950
 -2.145610 , 5.1265530
 -2.145485 , 5.1252260
 -2.145481 , 5.1275330
 -2.145352 , 5.1283140
 -2.145274 , 5.1298090
 -2.145052 , 5.1275440
 -2.144851 , 5.1242330
 -2.144541 , 5.1221200
 -2.144463 , 5.1246210
 -2.144358 , 5.1272680
 -2.144217 , 5.1237360
 -2.143934 , 5.1262320
 -2.143770 , 5.1215130
 -2.143588 , 5.1223670
 -2.143522 , 5.1234160
 -2.143439 , 5.1208580
 -2.143351 , 5.1221220
 -2.143219 , 5.1201590
 -2.143207 , 5.1173590
 -2.143206 , 5.1211610
 -2.142926 , 5.1181970
 -2.142867 , 5.1208370
 -2.142784 , 5.1187300
 -2.142497 , 5.1176880
 -2.142358 , 5.1172490
 -2.142316 , 5.1195570
 -2.142116 , 5.1194730
 -2.142021 , 5.1163870
 -2.141798 , 5.1171960
 -2.141720 , 5.1155620
 -2.141702 , 5.1137180
 -2.141578 , 5.1144780
 -2.141488 , 5.1160210
 -2.140928 , 5.1128090
 -2.140866 , 5.1149570
 -2.140778 , 5.1144800
 -2.140705 , 5.1118200
 -2.140570 , 5.1101870
 -2.140470 , 5.1125700
 -2.140368 , 5.1108610
 -2.140056 , 5.1083990
 -2.139942 , 5.1125840
 -2.139931 , 5.1109430
 -2.139918 , 5.1099160
 -2.139699 , 5.1104660
 -2.139420 , 5.1071190
 -2.139360 , 5.1084100
 -2.139261 , 5.1086320
 -2.139124 , 5.1056980
 -2.139051 , 5.1072910
 -2.138947 , 5.1065390
 -2.138799 , 5.1031260
 -2.138688 , 5.1048770
 -2.138520 , 5.1073170
 -2.138463 , 5.1056310
 -2.138362 , 5.1034190
 -2.138340 , 5.1050890
 -2.138149 , 5.1025510
 -2.137951 , 5.1032750
 -2.137641 , 5.1011990
 -2.137486 , 5.1012100
 -2.137294 , 5.1046980
 -2.137234 , 5.1005310
 -2.137198 , 5.1016370
 -2.137167 , 5.1010680
 -2.136849 , 5.0988560
 -2.136410 , 5.1005550
 -2.136297 , 5.0979790
 -2.136227 , 5.0983310
 -2.136192 , 5.0955160
 -2.136064 , 5.0976860
 -2.135912 , 5.0955860
 -2.135533 , 5.0938830
 -2.135435 , 5.0953680
 -2.135425 , 5.0960420
 -2.135364 , 5.0975870
 -2.135255 , 5.0954360
 -2.135021 , 5.0935030
 -2.134996 , 5.0908340
 -2.134996 , 5.0928090
 -2.134818 , 5.0930100
 -2.134671 , 5.0938970
 -2.134565 , 5.0920090
 -2.134356 , 5.0907990
 -2.134258 , 5.0907870
 -2.134121 , 5.0903980
 -2.134069 , 5.0900960
 -2.133935 , 5.0881850
 -2.133549 , 5.0877920
 -2.133343 , 5.0840440
 -2.133255 , 5.0889370
 -2.133179 , 5.0881640
 -2.133032 , 5.0853710
 -2.133029 , 5.0876230
 -2.132944 , 5.0832490
 -2.132832 , 5.0853120
 -2.132637 , 5.0871440
 -2.132510 , 5.0848780
 -2.132383 , 5.0830370
 -2.132091 , 5.0796510
 -2.131895 , 5.0840890
 -2.131853 , 5.0821050
 -2.131691 , 5.0802450
 -2.131671 , 5.0830130
 -2.131346 , 5.0842400
 -2.131140 , 5.0803190
 -2.130905 , 5.0752260
 -2.130884 , 5.0796710
 -2.130722 , 5.0789340
 -2.130584 , 5.0803110
 -2.130275 , 5.0770900
 -2.130040 , 5.0758700
 -2.129846 , 5.0771610
 -2.129800 , 5.0763040
 -2.129718 , 5.0770950
 -2.129655 , 5.0734350
 -2.129359 , 5.0726310
 -2.129154 , 5.0753130
 -2.128824 , 5.0740150
 -2.128611 , 5.0727960
 -2.128432 , 5.0713520
 -2.128279 , 5.0755360
 -2.128270 , 5.0712610
 -2.128225 , 5.0711740
 -2.127748 , 5.0717790
 -2.127720 , 5.0683580
 -2.127715 , 5.0699720
 -2.127481 , 5.0675140
 -2.127360 , 5.0700980
 -2.126970 , 5.0679920
 -2.126821 , 5.0650680
 -2.126743 , 5.0650880
 -2.126711 , 5.0645140
 -2.126694 , 5.0675690
 -2.126632 , 5.0671960
 -2.126595 , 5.0675450
 -2.126555 , 5.0632630
 -2.125920 , 5.0642730
 -2.125578 , 5.0655400
 -2.125480 , 5.0628930
 -2.125435 , 5.0585270
 -2.125243 , 5.0625310
 -2.125209 , 5.0578470
 -2.125051 , 5.0601330
