Title:       ,Ning-LJ two half cells module
Comment:     ,
Op:          ,Admin
ID:          ,standard 170+176 SnPb front
Mod Type:    ,ModuleType1
Date:        ,11-9-2020
Time:        ,12:03:42
Irradiance:  ,1000.07
IrrCorr:     ,1000
Lamp Voltage:,2300
Corrected To:,1000
Module Temp: ,24.7742
Corrected To:,25
MCCC:        ,1.1620
Voc:         ,1.35830
Isc:         ,5.30660
Rseries:     ,0.02746
Rshunt:      ,37.6946
Pmax:        ,5.57838
Vpm:         ,1.10743
Ipm:         ,5.03721
Fill Factor: ,0.77391
Active Eff:  ,20.3479
Aperture Eff:,20.3479
Segment Area:,137.075
Segs in Ser: ,2
Segs in Par: ,1
Panel Area:  ,274.15
Vload:       ,0
Ivld:        ,0
Pvld:        ,0
Iload:       ,0
Vild:        ,0
Pild:        ,0
Frequency:   ,113000
SweepDelay:  ,20
SweepLength: ,150
SweepSlope:  ,0.025
SweepDir:    ,0
MCCC2:       ,1.16
MCCC3:       ,1.155
MCCC4:       ,1.155
LampI:       ,999.902
IntV:        ,6.99113
IntV2:       ,7.00061
IntV3:       ,6.9858
IntV4:       ,6.9858
LoadV:       ,4.5
PulseWidth1: ,167.575
PulseWidth2: ,167.610
PulseWidth3: ,0
PulseWidth4: ,0
TRef1:       ,25.8803
TRef2:       ,25.5086
TRef3:       ,0
TRef4:       ,0
MCMode:      ,False
Irradiance2: ,-1.#INF
IrrCorr2:    ,700
Voc2:        ,0
Isc2:        ,0
Pmax2:       ,0
Vpm2:        ,0
Ipm2:        ,0
Fill Factor2:,0
Active Eff2: ,0
ApertureEff2:,0
LoadV2:      ,3.2125
PulseWidth12:,167.575
PulseWidth22:,167.610
Irradiance3: ,-1.#INF
IrrCorr3:    ,400
Voc3:        ,0
Isc3:        ,0
Pmax3:       ,0
Vpm3:        ,0
Ipm3:        ,0
Fill Factor3:,0
Active Eff3: ,0
ApertureEff3:,0
LoadV3:      ,3.2125
PulseWidth13:,167.575
PulseWidth23:,167.610
 Voltage:    , Current:
 -1.514000 , 5.3752380
 -1.513643 , 5.3760030
 -1.513601 , 5.3755820
 -1.513413 , 5.3758790
 -1.512893 , 5.3766020
 -1.512636 , 5.3769060
 -1.512589 , 5.3746050
 -1.512078 , 5.3769560
 -1.511981 , 5.3746000
 -1.511714 , 5.3747270
 -1.511309 , 5.3754230
 -1.511114 , 5.3742470
 -1.511030 , 5.3754540
 -1.510941 , 5.3749990
 -1.510543 , 5.3752430
 -1.509896 , 5.3750850
 -1.509729 , 5.3734410
 -1.508345 , 5.3753000
 -1.508296 , 5.3752100
 -1.507106 , 5.3749050
 -1.505914 , 5.3725260
 -1.505611 , 5.3732270
 -1.505509 , 5.3726660
 -1.505421 , 5.3727680
 -1.505201 , 5.3741780
 -1.505054 , 5.3744520
 -1.504969 , 5.3725460
 -1.504275 , 5.3736910
 -1.504267 , 5.3721460
 -1.504261 , 5.3716490
 -1.504226 , 5.3720870
 -1.504096 , 5.3731170
 -1.503963 , 5.3723550
 -1.503790 , 5.3725730
 -1.503571 , 5.3720010
 -1.502391 , 5.3714800
 -1.501157 , 5.3701920
 -1.500937 , 5.3713100
 -1.500836 , 5.3721370
 -1.500789 , 5.3705380
 -1.500595 , 5.3720860
 -1.500102 , 5.3700260
 -1.500049 , 5.3703090
 -1.499784 , 5.3710010
 -1.499370 , 5.3700770
 -1.499146 , 5.3717490
 -1.497767 , 5.3692010
 -1.497615 , 5.3706550
 -1.496566 , 5.3704560
 -1.496444 , 5.3693870
 -1.496230 , 5.3697180
 -1.496128 , 5.3699020
 -1.495818 , 5.3675570
 -1.495493 , 5.3686090
 -1.495282 , 5.3687110
 -1.495019 , 5.3696770
 -1.493874 , 5.3703350
 -1.493543 , 5.3702050
 -1.492262 , 5.3681680
 -1.492209 , 5.3689940
 -1.492184 , 5.3675700
 -1.491092 , 5.3692230
 -1.491043 , 5.3684390
 -1.490464 , 5.3668040
 -1.489828 , 5.3681830
 -1.489203 , 5.3691140
 -1.489168 , 5.3668370
 -1.488430 , 5.3676970
 -1.488218 , 5.3684990
 -1.486684 , 5.3669900
 -1.485972 , 5.3674760
 -1.485703 , 5.3662860
 -1.485665 , 5.3678000
 -1.485588 , 5.3668210
 -1.485352 , 5.3655860
 -1.484039 , 5.3657310
 -1.482743 , 5.3659700
 -1.482721 , 5.3661010
 -1.482282 , 5.3677950
 -1.482183 , 5.3665340
 -1.480713 , 5.3658900
 -1.479542 , 5.3648450
 -1.478716 , 5.3646040
 -1.478638 , 5.3641910
 -1.478274 , 5.3656550
 -1.478224 , 5.3642260
 -1.477797 , 5.3647090
 -1.477633 , 5.3637450
 -1.477575 , 5.3650790
 -1.477028 , 5.3656490
 -1.476868 , 5.3643080
 -1.476736 , 5.3641950
 -1.476334 , 5.3647620
 -1.474584 , 5.3628750
 -1.473685 , 5.3632590
 -1.473362 , 5.3641420
 -1.473124 , 5.3633600
 -1.472756 , 5.3635170
 -1.472638 , 5.3628540
 -1.471048 , 5.3629910
 -1.469075 , 5.3632350
 -1.468333 , 5.3622550
 -1.468267 , 5.3629810
 -1.468133 , 5.3622370
 -1.467403 , 5.3621540
 -1.465533 , 5.3614840
 -1.464686 , 5.3610840
 -1.464646 , 5.3609270
 -1.464199 , 5.3610820
 -1.464130 , 5.3613710
 -1.463652 , 5.3603570
 -1.463573 , 5.3630710
 -1.463293 , 5.3622080
 -1.462995 , 5.3606330
 -1.462840 , 5.3624330
 -1.462707 , 5.3603420
 -1.462645 , 5.3599160
 -1.462613 , 5.3620820
 -1.462494 , 5.3613230
 -1.462181 , 5.3612740
 -1.462176 , 5.3608230
 -1.461706 , 5.3593980
 -1.461401 , 5.3592160
 -1.460603 , 5.3607390
 -1.460420 , 5.3603600
 -1.459664 , 5.3595620
 -1.457686 , 5.3596840
 -1.456087 , 5.3583230
 -1.456062 , 5.3593330
 -1.455672 , 5.3577590
 -1.455465 , 5.3581170
 -1.455146 , 5.3595510
 -1.454322 , 5.3577890
 -1.454235 , 5.3596480
 -1.454071 , 5.3572660
 -1.453943 , 5.3592080
 -1.453307 , 5.3590060
 -1.452084 , 5.3565010
 -1.451531 , 5.3558880
 -1.451179 , 5.3572820
 -1.450683 , 5.3579890
 -1.450385 , 5.3563130
 -1.450077 , 5.3569860
 -1.449871 , 5.3580750
 -1.448802 , 5.3554560
 -1.448052 , 5.3578510
 -1.447881 , 5.3556650
 -1.447466 , 5.3586090
 -1.447214 , 5.3568540
 -1.446028 , 5.3550210
 -1.443929 , 5.3557450
 -1.442780 , 5.3561560
 -1.442598 , 5.3545530
 -1.442506 , 5.3542570
 -1.441889 , 5.3564710
 -1.440454 , 5.3554040
 -1.439330 , 5.3543620
 -1.438586 , 5.3552810
 -1.438392 , 5.3552000
 -1.438351 , 5.3544720
 -1.437343 , 5.3545960
 -1.436824 , 5.3528030
 -1.435152 , 5.3531860
 -1.434548 , 5.3531300
 -1.434344 , 5.3535220
 -1.434076 , 5.3538740
 -1.433407 , 5.3545630
 -1.432999 , 5.3531240
 -1.430952 , 5.3527820
 -1.430947 , 5.3536600
 -1.430942 , 5.3514240
 -1.430096 , 5.3515280
 -1.429969 , 5.3544790
 -1.429213 , 5.3503340
 -1.427480 , 5.3510530
 -1.427135 , 5.3512780
 -1.426529 , 5.3520530
 -1.426387 , 5.3521100
 -1.426119 , 5.3509720
 -1.425419 , 5.3532450
 -1.425144 , 5.3495650
 -1.424631 , 5.3518800
 -1.424065 , 5.3516850
 -1.423651 , 5.3505430
 -1.423583 , 5.3521120
 -1.422928 , 5.3500470
 -1.421296 , 5.3499950
 -1.419138 , 5.3498370
