Title:       ,Ning-LJ two half cells module
Comment:     ,
Op:          ,Admin
ID:          ,standard 178+180 SnPb back
Mod Type:    ,ModuleType1
Date:        ,11-9-2020
Time:        ,12:02:28
Irradiance:  ,1000.38
IrrCorr:     ,1000
Lamp Voltage:,2300
Corrected To:,1000
Module Temp: ,24.7938
Corrected To:,25
MCCC:        ,1.1620
Voc:         ,1.34986
Isc:         ,4.29323
Rseries:     ,0.03030
Rshunt:      ,4.24782
Pmax:        ,4.52421
Vpm:         ,1.12068
Ipm:         ,4.03702
Fill Factor: ,0.78067
Active Eff:  ,16.5026
Aperture Eff:,16.5026
Segment Area:,137.075
Segs in Ser: ,2
Segs in Par: ,1
Panel Area:  ,274.15
Vload:       ,0
Ivld:        ,0
Pvld:        ,0
Iload:       ,0
Vild:        ,0
Pild:        ,0
Frequency:   ,113000
SweepDelay:  ,20
SweepLength: ,150
SweepSlope:  ,0.025
SweepDir:    ,0
MCCC2:       ,1.16
MCCC3:       ,1.155
MCCC4:       ,1.155
LampI:       ,1000.52
IntV:        ,6.99092
IntV2:       ,7.00039
IntV3:       ,6.9858
IntV4:       ,6.9858
LoadV:       ,4.5
PulseWidth1: ,167.575
PulseWidth2: ,167.575
PulseWidth3: ,0
PulseWidth4: ,0
TRef1:       ,25.7999
TRef2:       ,25.4871
TRef3:       ,0
TRef4:       ,0
MCMode:      ,False
Irradiance2: ,-1.#INF
IrrCorr2:    ,700
Voc2:        ,0
Isc2:        ,0
Pmax2:       ,0
Vpm2:        ,0
Ipm2:        ,0
Fill Factor2:,0
Active Eff2: ,0
ApertureEff2:,0
LoadV2:      ,3.2125
PulseWidth12:,167.575
PulseWidth22:,167.575
Irradiance3: ,-1.#INF
IrrCorr3:    ,400
Voc3:        ,0
Isc3:        ,0
Pmax3:       ,0
Vpm3:        ,0
Ipm3:        ,0
Fill Factor3:,0
Active Eff3: ,0
ApertureEff3:,0
LoadV3:      ,3.2125
PulseWidth13:,167.575
PulseWidth23:,167.575
 Voltage:    , Current:
 -2.184041 , 5.1340810
 -2.183673 , 5.1349800
 -2.183541 , 5.1338800
 -2.183483 , 5.1324470
 -2.183334 , 5.1325160
 -2.183287 , 5.1323750
 -2.183088 , 5.1326900
 -2.182839 , 5.1312280
 -2.182722 , 5.1313170
 -2.182606 , 5.1285680
 -2.182544 , 5.1297910
 -2.182534 , 5.1291130
 -2.182487 , 5.1296690
 -2.182143 , 5.1301220
 -2.182006 , 5.1258530
 -2.182006 , 5.1273530
 -2.181799 , 5.1302810
 -2.181798 , 5.1274310
 -2.181715 , 5.1272420
 -2.181641 , 5.1241700
 -2.181563 , 5.1258640
 -2.181429 , 5.1249110
 -2.181297 , 5.1230940
 -2.181175 , 5.1249210
 -2.181117 , 5.1252710
 -2.181111 , 5.1253790
 -2.181022 , 5.1277460
 -2.180809 , 5.1224330
 -2.180374 , 5.1222990
 -2.180334 , 5.1215360
 -2.180218 , 5.1189370
 -2.180176 , 5.1206610
 -2.179860 , 5.1206530
 -2.179858 , 5.1197100
 -2.179798 , 5.1185080
 -2.179794 , 5.1230800
 -2.179687 , 5.1193890
 -2.179589 , 5.1171150
 -2.179484 , 5.1159490
 -2.179191 , 5.1144310
 -2.179013 , 5.1188500
 -2.178903 , 5.1174150
 -2.178807 , 5.1176870
 -2.178764 , 5.1147360
 -2.178751 , 5.1138510
 -2.178592 , 5.1182810
 -2.178473 , 5.1124430
 -2.178190 , 5.1156370
 -2.178122 , 5.1164030
 -2.178048 , 5.1099920
 -2.178023 , 5.1142310
 -2.177909 , 5.1127480
 -2.177835 , 5.1114760
 -2.177629 , 5.1136160
 -2.177627 , 5.1123410
 -2.177496 , 5.1106450
 -2.177479 , 5.1109910
 -2.177381 , 5.1109640
 -2.177114 , 5.1081400
 -2.176973 , 5.1102130
 -2.176872 , 5.1087460
 -2.176461 , 5.1068020
 -2.176348 , 5.1090630
 -2.176346 , 5.1067690
 -2.176314 , 5.1076880
 -2.176114 , 5.1080630
 -2.175939 , 5.1026530
 -2.175858 , 5.1052450
 -2.175568 , 5.1016750
 -2.175566 , 5.1036390
 -2.175443 , 5.1045630
 -2.175435 , 5.1058630
 -2.175428 , 5.1057820
 -2.175282 , 5.1024190
 -2.175227 , 5.1000810
 -2.174923 , 5.1012150
 -2.174875 , 5.1026140
 -2.174843 , 5.1027260
 -2.174509 , 5.1014390
 -2.174411 , 5.1008580
 -2.174359 , 5.1007640
 -2.174311 , 5.0993620
 -2.174253 , 5.0980200
 -2.174188 , 5.0972570
 -2.174097 , 5.1002140
 -2.173739 , 5.0976510
 -2.173430 , 5.0949360
 -2.173352 , 5.0966020
 -2.173227 , 5.0961730
 -2.173011 , 5.0933740
 -2.172885 , 5.0970840
 -2.172833 , 5.0915150
 -2.172783 , 5.0936770
 -2.172672 , 5.0939530
 -2.172456 , 5.0942650
 -2.172269 , 5.0922050
 -2.172186 , 5.0922850
 -2.171971 , 5.0913120
 -2.171936 , 5.0876440
 -2.171893 , 5.0921130
 -2.171737 , 5.0895540
 -2.171700 , 5.0921190
 -2.171620 , 5.0876960
 -2.171537 , 5.0889090
 -2.171262 , 5.0891790
 -2.171221 , 5.0880260
 -2.170965 , 5.0859530
 -2.170944 , 5.0874520
 -2.170766 , 5.0827280
 -2.170616 , 5.0861470
 -2.170430 , 5.0846760
 -2.170040 , 5.0874960
 -2.169928 , 5.0822250
 -2.169574 , 5.0854330
 -2.169497 , 5.0829970
 -2.169436 , 5.0844330
 -2.169097 , 5.0825180
 -2.169072 , 5.0801700
 -2.168872 , 5.0805920
 -2.168800 , 5.0790310
 -2.168594 , 5.0801620
 -2.168344 , 5.0798670
 -2.168334 , 5.0829610
 -2.168166 , 5.0772920
 -2.167895 , 5.0766190
 -2.167770 , 5.0770780
 -2.167724 , 5.0807640
 -2.167546 , 5.0769580
 -2.167383 , 5.0763520
 -2.167304 , 5.0748020
 -2.167188 , 5.0744890
 -2.167147 , 5.0734040
 -2.167078 , 5.0764560
 -2.166959 , 5.0733770
 -2.166888 , 5.0746700
 -2.166501 , 5.0735450
 -2.166063 , 5.0723800
 -2.165902 , 5.0694180
 -2.165881 , 5.0712350
 -2.165792 , 5.0720100
 -2.165594 , 5.0723400
 -2.165533 , 5.0700820
 -2.165295 , 5.0698360
 -2.165282 , 5.0691240
 -2.165227 , 5.0681120
 -2.164669 , 5.0680470
 -2.164457 , 5.0654040
 -2.164431 , 5.0648040
 -2.164398 , 5.0681380
 -2.164283 , 5.0624590
 -2.164261 , 5.0683810
 -2.164028 , 5.0648500
 -2.163946 , 5.0657790
 -2.163795 , 5.0635320
 -2.163652 , 5.0611400
 -2.163631 , 5.0640900
 -2.163506 , 5.0636730
 -2.163500 , 5.0581250
 -2.163460 , 5.0586630
 -2.163004 , 5.0609650
 -2.162739 , 5.0620470
 -2.162718 , 5.0618660
 -2.162612 , 5.0575970
 -2.162462 , 5.0595110
 -2.162443 , 5.0569030
 -2.162151 , 5.0558370
 -2.162041 , 5.0592870
 -2.161520 , 5.0562940
 -2.161447 , 5.0534020
 -2.161352 , 5.0552590
 -2.161351 , 5.0550950
 -2.161239 , 5.0526650
 -2.161103 , 5.0548690
 -2.161051 , 5.0531220
 -2.160732 , 5.0502950
 -2.160668 , 5.0498860
 -2.160460 , 5.0527260
 -2.160311 , 5.0519060
 -2.160197 , 5.0490780
 -2.160114 , 5.0490050
 -2.160058 , 5.0490870
 -2.159681 , 5.0502320
 -2.159558 , 5.0482610
 -2.159386 , 5.0456680
 -2.159338 , 5.0468230
 -2.159207 , 5.0470590
 -2.158628 , 5.0465130
 -2.158492 , 5.0441500
