Title:       ,Ning-LJ two half cells module
Comment:     ,
Op:          ,Admin
ID:          ,tape 099+100 SnBiAg back
Mod Type:    ,ModuleType1
Date:        ,11-9-2020
Time:        ,12:00:23
Irradiance:  ,1000.17
IrrCorr:     ,1000
Lamp Voltage:,2300
Corrected To:,1000
Module Temp: ,24.8132
Corrected To:,25
MCCC:        ,1.1620
Voc:         ,1.35432
Isc:         ,4.35917
Rseries:     ,0.03091
Rshunt:      ,8.38915
Pmax:        ,4.61438
Vpm:         ,1.12188
Ipm:         ,4.11305
Fill Factor: ,0.78160
Active Eff:  ,16.8316
Aperture Eff:,16.8316
Segment Area:,137.075
Segs in Ser: ,2
Segs in Par: ,1
Panel Area:  ,274.15
Vload:       ,0
Ivld:        ,0
Pvld:        ,0
Iload:       ,0
Vild:        ,0
Pild:        ,0
Frequency:   ,113000
SweepDelay:  ,20
SweepLength: ,150
SweepSlope:  ,0.025
SweepDir:    ,0
MCCC2:       ,1.16
MCCC3:       ,1.155
MCCC4:       ,1.155
LampI:       ,999.898
IntV:        ,6.99065
IntV2:       ,7.00029
IntV3:       ,6.9858
IntV4:       ,6.9858
LoadV:       ,4.5
PulseWidth1: ,166.902
PulseWidth2: ,167.610
PulseWidth3: ,0
PulseWidth4: ,0
TRef1:       ,25.7631
TRef2:       ,25.3913
TRef3:       ,0
TRef4:       ,0
MCMode:      ,False
Irradiance2: ,-1.#INF
IrrCorr2:    ,700
Voc2:        ,0
Isc2:        ,0
Pmax2:       ,0
Vpm2:        ,0
Ipm2:        ,0
Fill Factor2:,0
Active Eff2: ,0
ApertureEff2:,0
LoadV2:      ,3.2125
PulseWidth12:,166.902
PulseWidth22:,167.610
Irradiance3: ,-1.#INF
IrrCorr3:    ,400
Voc3:        ,0
Isc3:        ,0
Pmax3:       ,0
Vpm3:        ,0
Ipm3:        ,0
Fill Factor3:,0
Active Eff3: ,0
ApertureEff3:,0
LoadV3:      ,3.2125
PulseWidth13:,166.902
PulseWidth23:,167.610
 Voltage:    , Current:
 -2.157021 , 5.1429720
 -2.156950 , 5.1438810
 -2.156777 , 5.1449710
 -2.156565 , 5.1430950
 -2.156482 , 5.1407230
 -2.156449 , 5.1422950
 -2.156205 , 5.1403050
 -2.156179 , 5.1429940
 -2.156145 , 5.1410070
 -2.156024 , 5.1410570
 -2.155793 , 5.1380430
 -2.155737 , 5.1425790
 -2.155733 , 5.1359200
 -2.155675 , 5.1390490
 -2.155386 , 5.1401210
 -2.154990 , 5.1337220
 -2.154962 , 5.1362530
 -2.154957 , 5.1388570
 -2.154772 , 5.1382340
 -2.154692 , 5.1368270
 -2.154459 , 5.1382270
 -2.154422 , 5.1322190
 -2.154416 , 5.1373500
 -2.154369 , 5.1359430
 -2.154290 , 5.1355620
 -2.154127 , 5.1329240
 -2.153925 , 5.1352130
 -2.153885 , 5.1343220
 -2.153820 , 5.1299310
 -2.153388 , 5.1311350
 -2.153361 , 5.1322340
 -2.153249 , 5.1319880
 -2.153110 , 5.1295760
 -2.153011 , 5.1348110
 -2.152983 , 5.1331310
 -2.152764 , 5.1284720
 -2.152671 , 5.1272130
 -2.152544 , 5.1283600
 -2.152520 , 5.1284260
 -2.152517 , 5.1309410
 -2.152462 , 5.1279580
 -2.152414 , 5.1309080
 -2.152015 , 5.1247010
 -2.152007 , 5.1260250
 -2.151973 , 5.1264720
 -2.151928 , 5.1277410
 -2.151861 , 5.1232070
 -2.151777 , 5.1256280
 -2.151661 , 5.1232120
 -2.151596 , 5.1252390
 -2.151390 , 5.1264990
 -2.151222 , 5.1234020
 -2.151001 , 5.1226990
 -2.150909 , 5.1230960
 -2.150848 , 5.1237310
 -2.150631 , 5.1204920
 -2.150486 , 5.1181760
 -2.150359 , 5.1216160
 -2.150307 , 5.1194290
 -2.150277 , 5.1181750
 -2.150234 , 5.1198610
 -2.150185 , 5.1209540
 -2.150054 , 5.1211190
 -2.149962 , 5.1182330
 -2.149691 , 5.1172980
 -2.149670 , 5.1156750
 -2.149531 , 5.1151170
 -2.149309 , 5.1190510
 -2.149172 , 5.1173790
 -2.149168 , 5.1168860
 -2.148848 , 5.1126070
 -2.148717 , 5.1159200
 -2.148646 , 5.1132230
 -2.148474 , 5.1152790
 -2.148220 , 5.1144120
 -2.148118 , 5.1110340
 -2.148050 , 5.1112670
 -2.147798 , 5.1092770
 -2.147775 , 5.1106460
 -2.147602 , 5.1084860
 -2.147429 , 5.1124940
 -2.147326 , 5.1138360
 -2.147076 , 5.1106140
 -2.147049 , 5.1095810
 -2.146667 , 5.1080250
 -2.146604 , 5.1082240
 -2.146598 , 5.1056720
 -2.146395 , 5.1074180
 -2.146340 , 5.1093660
 -2.146086 , 5.1057450
 -2.145981 , 5.1069760
 -2.145837 , 5.1053130
 -2.145777 , 5.1047300
 -2.145519 , 5.1034330
 -2.145415 , 5.1044630
 -2.145265 , 5.1043680
 -2.145202 , 5.1021830
 -2.145154 , 5.1020180
 -2.144986 , 5.0997740
 -2.144682 , 5.0970660
 -2.144676 , 5.1002400
 -2.144437 , 5.1028610
 -2.144294 , 5.1020540
 -2.144253 , 5.1010500
 -2.144035 , 5.0951410
 -2.143743 , 5.0980870
 -2.143601 , 5.0978080
 -2.143512 , 5.1009490
 -2.143253 , 5.0970970
 -2.143127 , 5.1004120
 -2.142871 , 5.0980250
 -2.142565 , 5.0975330
 -2.142414 , 5.0964620
 -2.142273 , 5.0928010
 -2.142196 , 5.0958700
 -2.142150 , 5.0933490
 -2.142027 , 5.0960470
 -2.142020 , 5.0960140
 -2.141994 , 5.0930790
 -2.141890 , 5.0933930
 -2.141849 , 5.0913840
 -2.141608 , 5.0879170
 -2.141501 , 5.0927640
 -2.141141 , 5.0907700
 -2.140870 , 5.0891520
 -2.140862 , 5.0872430
 -2.140650 , 5.0897250
 -2.140643 , 5.0904970
 -2.140500 , 5.0892190
 -2.140357 , 5.0872310
 -2.140349 , 5.0878660
 -2.140126 , 5.0875630
 -2.140120 , 5.0860600
 -2.139963 , 5.0837370
 -2.139369 , 5.0863470
 -2.139368 , 5.0835640
 -2.139293 , 5.0834280
 -2.139146 , 5.0856010
 -2.139024 , 5.0835770
 -2.138996 , 5.0812380
 -2.138925 , 5.0817500
 -2.138907 , 5.0833400
 -2.138544 , 5.0818110
 -2.138471 , 5.0781040
 -2.138348 , 5.0813810
 -2.138104 , 5.0803140
 -2.138042 , 5.0760950
 -2.137866 , 5.0815420
 -2.137764 , 5.0782920
 -2.137758 , 5.0777110
 -2.137576 , 5.0773800
 -2.137407 , 5.0784860
 -2.137068 , 5.0756940
 -2.136898 , 5.0735330
 -2.136772 , 5.0733050
 -2.136763 , 5.0755610
 -2.136668 , 5.0763890
 -2.136435 , 5.0760350
 -2.136139 , 5.0729480
 -2.136115 , 5.0737300
 -2.135754 , 5.0675830
 -2.135730 , 5.0733710
 -2.135636 , 5.0725790
 -2.135335 , 5.0704300
 -2.134825 , 5.0703490
 -2.134713 , 5.0695140
 -2.134595 , 5.0702040
 -2.134390 , 5.0691490
 -2.134220 , 5.0666870
 -2.134145 , 5.0670300
 -2.134110 , 5.0675730
 -2.133821 , 5.0653500
 -2.133679 , 5.0632210
 -2.133540 , 5.0681720
 -2.133444 , 5.0637460
 -2.133291 , 5.0626840
 -2.133070 , 5.0627770
 -2.133029 , 5.0638710
 -2.132996 , 5.0657080
 -2.132970 , 5.0633060
 -2.132593 , 5.0597820
 -2.132046 , 5.0615320
 -2.131962 , 5.0598290
 -2.131931 , 5.0602350
 -2.131516 , 5.0615830
 -2.131455 , 5.0595360
 -2.131204 , 5.0566840
 -2.131178 , 5.0566990
