Title:       ,Ning-LJ two half cells module
Comment:     ,
Op:          ,Admin
ID:          ,tape 099+100 SnBiAg front
Mod Type:    ,ModuleType1
Date:        ,11-9-2020
Time:        ,11:59:31
Irradiance:  ,999.854
IrrCorr:     ,1000
Lamp Voltage:,2300
Corrected To:,1000
Module Temp: ,24.7893
Corrected To:,25
MCCC:        ,1.1620
Voc:         ,1.36431
Isc:         ,5.38111
Rseries:     ,0.02873
Rshunt:      ,36.6277
Pmax:        ,5.60240
Vpm:         ,1.10438
Ipm:         ,5.07288
Fill Factor: ,0.76311
Active Eff:  ,20.4355
Aperture Eff:,20.4355
Segment Area:,137.075
Segs in Ser: ,2
Segs in Par: ,1
Panel Area:  ,274.15
Vload:       ,0
Ivld:        ,0
Pvld:        ,0
Iload:       ,0
Vild:        ,0
Pild:        ,0
Frequency:   ,113000
SweepDelay:  ,20
SweepLength: ,150
SweepSlope:  ,0.025
SweepDir:    ,0
MCCC2:       ,1.16
MCCC3:       ,1.155
MCCC4:       ,1.155
LampI:       ,1000.10
IntV:        ,6.99062
IntV2:       ,7.00009
IntV3:       ,6.9858
IntV4:       ,6.9858
LoadV:       ,4.5
PulseWidth1: ,167.610
PulseWidth2: ,167.646
PulseWidth3: ,0
PulseWidth4: ,0
TRef1:       ,25.6934
TRef2:       ,25.3216
TRef3:       ,0
TRef4:       ,0
MCMode:      ,False
Irradiance2: ,-1.#INF
IrrCorr2:    ,700
Voc2:        ,0
Isc2:        ,0
Pmax2:       ,0
Vpm2:        ,0
Ipm2:        ,0
Fill Factor2:,0
Active Eff2: ,0
ApertureEff2:,0
LoadV2:      ,3.2125
PulseWidth12:,167.610
PulseWidth22:,167.646
Irradiance3: ,-1.#INF
IrrCorr3:    ,400
Voc3:        ,0
Isc3:        ,0
Pmax3:       ,0
Vpm3:        ,0
Ipm3:        ,0
Fill Factor3:,0
Active Eff3: ,0
ApertureEff3:,0
LoadV3:      ,3.2125
PulseWidth13:,167.610
PulseWidth23:,167.646
 Voltage:    , Current:
 -1.449253 , 5.4319190
 -1.447551 , 5.4319460
 -1.446041 , 5.4311600
 -1.445913 , 5.4303750
 -1.445332 , 5.4307640
 -1.444757 , 5.4308350
 -1.444750 , 5.4312440
 -1.443549 , 5.4293370
 -1.442535 , 5.4302360
 -1.442520 , 5.4305460
 -1.442477 , 5.4300940
 -1.441207 , 5.4297780
 -1.438374 , 5.4294680
 -1.437147 , 5.4279060
 -1.436867 , 5.4285610
 -1.436831 , 5.4283290
 -1.435829 , 5.4294330
 -1.434452 , 5.4284190
 -1.433051 , 5.4283760
 -1.432265 , 5.4282420
 -1.431990 , 5.4288100
 -1.431503 , 5.4271700
 -1.430422 , 5.4271760
 -1.428539 , 5.4269160
 -1.428436 , 5.4261060
 -1.428187 , 5.4275030
 -1.427538 , 5.4279170
 -1.427065 , 5.4264750
 -1.426258 , 5.4267690
 -1.426219 , 5.4263810
 -1.425645 , 5.4256820
 -1.425282 , 5.4264250
 -1.424866 , 5.4266230
 -1.421807 , 5.4254540
 -1.420287 , 5.4250930
 -1.418928 , 5.4263360
 -1.418886 , 5.4246700
 -1.418827 , 5.4256590
 -1.418234 , 5.4254130
 -1.418044 , 5.4240790
 -1.417339 , 5.4241810
 -1.416579 , 5.4230540
 -1.415884 , 5.4241070
 -1.415548 , 5.4255370
 -1.413508 , 5.4250500
 -1.411527 , 5.4233920
 -1.411140 , 5.4230670
 -1.410866 , 5.4241360
 -1.409854 , 5.4230080
 -1.408906 , 5.4213920
 -1.408190 , 5.4226400
 -1.407685 , 5.4238410
 -1.406949 , 5.4246550
 -1.406418 , 5.4222660
 -1.404248 , 5.4219430
 -1.402182 , 5.4213050
 -1.402047 , 5.4211510
 -1.400537 , 5.4220780
 -1.400505 , 5.4220490
 -1.399541 , 5.4218270
 -1.397480 , 5.4219410
 -1.396618 , 5.4204000
 -1.396312 , 5.4210900
 -1.396220 , 5.4207200
 -1.395430 , 5.4208720
 -1.394695 , 5.4199220
 -1.394474 , 5.4195850
 -1.394374 , 5.4204460
 -1.394209 , 5.4206510
 -1.393407 , 5.4197900
 -1.392735 , 5.4206710
 -1.392599 , 5.4191270
 -1.391039 , 5.4186630
 -1.390270 , 5.4192730
 -1.390227 , 5.4181320
 -1.388137 , 5.4195840
 -1.387435 , 5.4181430
 -1.387076 , 5.4178460
 -1.386764 , 5.4185060
 -1.384086 , 5.4187680
 -1.382553 , 5.4184840
 -1.381764 , 5.4165760
 -1.381361 , 5.4164480
 -1.379416 , 5.4172760
 -1.378211 , 5.4168550
 -1.377946 , 5.4178670
 -1.377501 , 5.4168490
 -1.376790 , 5.4160310
 -1.376479 , 5.4162940
 -1.375642 , 5.4165950
 -1.374485 , 5.4176430
 -1.371183 , 5.4167120
 -1.369473 , 5.4147660
 -1.369388 , 5.4142900
 -1.368567 , 5.4162780
 -1.367001 , 5.4167550
 -1.364825 , 5.4141670
 -1.364606 , 5.4155460
 -1.364413 , 5.4158720
 -1.363601 , 5.4132290
 -1.363411 , 5.4156050
 -1.360506 , 5.4152150
 -1.357349 , 5.4151580
 -1.356382 , 5.4127250
 -1.356023 , 5.4141540
 -1.355961 , 5.4140850
 -1.355172 , 5.4134390
 -1.353089 , 5.4138630
 -1.353069 , 5.4128150
 -1.352982 , 5.4134760
 -1.352176 , 5.4126640
 -1.351703 , 5.4138540
 -1.349591 , 5.4130600
 -1.347583 , 5.4113990
 -1.347564 , 5.4125810
 -1.346196 , 5.4138690
 -1.344648 , 5.4125430
 -1.341784 , 5.4113300
 -1.338807 , 5.4115060
 -1.338040 , 5.4115900
 -1.338038 , 5.4115580
 -1.337980 , 5.4105750
 -1.337204 , 5.4107780
 -1.334971 , 5.4114160
 -1.333997 , 5.4114670
 -1.333736 , 5.4121100
 -1.332825 , 5.4112730
 -1.330897 , 5.4100620
 -1.328995 , 5.4094790
 -1.327557 , 5.4107170
 -1.327483 , 5.4104830
 -1.325574 , 5.4108830
 -1.323115 , 5.4090930
 -1.322643 , 5.4097050
 -1.321965 , 5.4089060
 -1.321832 , 5.4085330
 -1.321618 , 5.4102000
 -1.319889 , 5.4088250
 -1.318437 , 5.4084490
 -1.316363 , 5.4104260
 -1.316125 , 5.4087550
 -1.314085 , 5.4085970
 -1.311528 , 5.4077320
 -1.310299 , 5.4081200
 -1.310019 , 5.4074180
 -1.309994 , 5.4081080
 -1.309392 , 5.4080140
 -1.307270 , 5.4073860
 -1.306388 , 5.4068480
 -1.306354 , 5.4057360
 -1.305709 , 5.4086960
 -1.304996 , 5.4083930
 -1.301982 , 5.4071960
 -1.299499 , 5.4068070
 -1.299478 , 5.4059530
 -1.299335 , 5.4051080
 -1.297831 , 5.4050040
 -1.297783 , 5.4062880
 -1.297758 , 5.4060120
 -1.295510 , 5.4052340
 -1.292482 , 5.4053390
 -1.291095 , 5.4065070
 -1.290433 , 5.4057380
 -1.288123 , 5.4056260
 -1.285280 , 5.4037040
 -1.282454 , 5.4032500
 -1.280604 , 5.4042460
 -1.280357 , 5.4038310
 -1.279094 , 5.4050590
 -1.278170 , 5.4038370
 -1.275760 , 5.4023330
 -1.275367 , 5.4052440
 -1.275331 , 5.4039070
 -1.274812 , 5.4030440
 -1.273368 , 5.4039480
 -1.271356 , 5.4027060
 -1.269601 , 5.4030520
 -1.269488 , 5.4022380
 -1.269116 , 5.4036290
 -1.267789 , 5.4040790
 -1.264449 , 5.4027080
 -1.261700 , 5.4023100
 -1.260737 , 5.4015930
 -1.260385 , 5.4027800
 -1.257753 , 5.4038620
 -1.254212 , 5.4031620
 -1.251269 , 5.4009160
 -1.248744 , 5.4015460
